"GEO_ID","NAME","P2_001N","P2_001NA","P2_002N","P2_002NA","P2_003N","P2_003NA","P2_004N","P2_004NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Urban","Annotation of  !!Total:!!Urban"," !!Total:!!Rural","Annotation of  !!Total:!!Rural"," !!Total:!!Not defined for this file","Annotation of  !!Total:!!Not defined for this file",
"0500000US08015","Chaffee County, Colorado","19476","null","10991","null","8485","null","0","null",
"0500000US08017","Cheyenne County, Colorado","1748","null","0","null","1748","null","0","null",
"0500000US08019","Clear Creek County, Colorado","9397","null","0","null","9397","null","0","null",
"0500000US08021","Conejos County, Colorado","7461","null","0","null","7461","null","0","null",
"0500000US08023","Costilla County, Colorado","3499","null","0","null","3499","null","0","null",
"0500000US08025","Crowley County, Colorado","5922","null","0","null","5922","null","0","null",
"0500000US08027","Custer County, Colorado","4704","null","0","null","4704","null","0","null",
"0500000US08029","Delta County, Colorado","31196","null","8190","null","23006","null","0","null",
"0500000US08031","Denver County, Colorado","715522","null","715418","null","104","null","0","null",
"0500000US08033","Dolores County, Colorado","2326","null","0","null","2326","null","0","null",
"0500000US08035","Douglas County, Colorado","357978","null","325708","null","32270","null","0","null",
"0500000US08037","Eagle County, Colorado","55731","null","45415","null","10316","null","0","null",
"0500000US08039","Elbert County, Colorado","26062","null","0","null","26062","null","0","null",
"0500000US08041","El Paso County, Colorado","730395","null","655526","null","74869","null","0","null",
"0500000US08043","Fremont County, Colorado","48939","null","24737","null","24202","null","0","null",
"0500000US08045","Garfield County, Colorado","61685","null","41874","null","19811","null","0","null",
"0500000US08047","Gilpin County, Colorado","5808","null","0","null","5808","null","0","null",
"0500000US08049","Grand County, Colorado","15717","null","4979","null","10738","null","0","null",
"0500000US08051","Gunnison County, Colorado","16918","null","7228","null","9690","null","0","null",
"0500000US08053","Hinsdale County, Colorado","788","null","0","null","788","null","0","null",
"0500000US08055","Huerfano County, Colorado","6820","null","0","null","6820","null","0","null",
"0500000US08057","Jackson County, Colorado","1379","null","0","null","1379","null","0","null",
"0500000US08059","Jefferson County, Colorado","582910","null","541241","null","41669","null","0","null",
"0500000US08061","Kiowa County, Colorado","1446","null","0","null","1446","null","0","null",
"0500000US08063","Kit Carson County, Colorado","7087","null","0","null","7087","null","0","null",
"0500000US08065","Lake County, Colorado","7436","null","4538","null","2898","null","0","null",
"0500000US08067","La Plata County, Colorado","55638","null","19114","null","36524","null","0","null",
"0500000US08069","Larimer County, Colorado","359066","null","322283","null","36783","null","0","null",
"0500000US08071","Las Animas County, Colorado","14555","null","8323","null","6232","null","0","null",
"0500000US08073","Lincoln County, Colorado","5675","null","0","null","5675","null","0","null",
"0500000US08075","Logan County, Colorado","21528","null","12278","null","9250","null","0","null",
"0500000US08077","Mesa County, Colorado","155703","null","135973","null","19730","null","0","null",
"0500000US08079","Mineral County, Colorado","865","null","0","null","865","null","0","null",
"0500000US08081","Moffat County, Colorado","13292","null","9650","null","3642","null","0","null",
"0500000US08083","Montezuma County, Colorado","25849","null","8628","null","17221","null","0","null",
"0500000US08085","Montrose County, Colorado","42679","null","24513","null","18166","null","0","null",
"0500000US08087","Morgan County, Colorado","29111","null","19041","null","10070","null","0","null",
"0500000US08089","Otero County, Colorado","18690","null","7792","null","10898","null","0","null",
"0500000US08091","Ouray County, Colorado","4874","null","0","null","4874","null","0","null",
"0500000US08093","Park County, Colorado","17390","null","0","null","17390","null","0","null",
"0500000US08095","Phillips County, Colorado","4530","null","0","null","4530","null","0","null",
"0500000US08097","Pitkin County, Colorado","17358","null","11636","null","5722","null","0","null",
"0500000US08099","Prowers County, Colorado","11999","null","7502","null","4497","null","0","null",
"0500000US08101","Pueblo County, Colorado","168162","null","146055","null","22107","null","0","null",
"0500000US08103","Rio Blanco County, Colorado","6529","null","0","null","6529","null","0","null",
"0500000US08105","Rio Grande County, Colorado","11539","null","0","null","11539","null","0","null",
"0500000US08107","Routt County, Colorado","24829","null","14455","null","10374","null","0","null",
"0500000US08109","Saguache County, Colorado","6368","null","0","null","6368","null","0","null",
"0500000US08111","San Juan County, Colorado","705","null","0","null","705","null","0","null",
"0500000US08113","San Miguel County, Colorado","8072","null","4587","null","3485","null","0","null",
"0500000US08115","Sedgwick County, Colorado","2404","null","0","null","2404","null","0","null",
"0500000US08117","Summit County, Colorado","31055","null","26055","null","5000","null","0","null",
